id_sol;period;courses;total_credits;period_fit
1;1;inf5,inf7,inf311,qui010,dew100,inf6,inf2,mat021,inf313,inf4;35;25
1;2;iwi131,hrw133,inf302,inf312,inf314,inf304,hrw132,inf3;33;9
1;3;mat022,iwg101,inf303,inf152,fis100,inf134,inf1;33;9
1;4;inf260,mat023,inf155,inf253,inf301,inf239,dew101;34;16
1;5;inf270,inf280,inf236,fis110,iwn170,inf292;33;9
1;6;inf276,fis130,inf225,fis120,inf245;31;1
1;7;inf266,inf246,icn270,fis140,inf322;28;4
1;8;inf256,mat024,inf295,inf360,inf221;26;16
1;9;inf343,inf285,inf228,inf309,inf293;27;9
1;10;inf310;20;100
2;1;inf5,inf7,inf311,qui010,dew100,inf6,inf2,mat021,inf313,inf4;35;25
2;2;iwi131,hrw133,inf302,inf312,inf314,inf304,hrw132,inf3;33;9
2;3;mat022,iwg101,inf303,inf152,fis100,inf134,inf1;33;9
2;4;inf260,mat023,inf155,inf253,inf301,inf239,dew101;34;16
2;5;inf270,inf280,inf236,fis110,iwn170,inf292;33;9
2;6;inf276,fis130,inf225,fis120,inf245;31;1
2;7;inf266,inf246,icn270,fis140,inf322;28;4
2;8;inf256,mat024,inf295,inf360,inf221;26;16
2;9;inf343,inf285,inf228,inf309,inf293;27;9
2;10;inf310;20;100
3;1;inf5,inf7,inf311,qui010,dew100,inf6,inf2,mat021,inf313,inf4;35;25
3;2;iwi131,hrw133,inf302,inf312,inf314,inf304,hrw132,inf3;33;9
3;3;mat022,iwg101,inf303,inf152,fis100,inf134,inf1;33;9
3;4;inf260,mat023,inf155,inf253,inf301,inf239,dew101;34;16
3;5;inf270,inf280,inf236,fis110,iwn170,inf292;33;9
3;6;inf276,fis130,inf225,fis120,inf245;31;1
3;7;inf266,inf246,icn270,fis140,inf322;28;4
3;8;inf256,mat024,inf295,inf360,inf221;26;16
3;9;inf343,inf285,inf228,inf309,inf293;27;9
3;10;inf310;20;100
